968943|0|1|-2085641597
972253|0|1|-707481435
974054|0|1|1644371859
974416|0|1|-1277073045
974338|0|1|-1041123456
975937|0|1|-1572757920
975527|0|1|-1513488011
990052|0|1|-127477044
985124|0|1|-1058461329
981586|0|1|-1024278973
1003264|0|1|-2113154336
1007703|0|1|-87872138
1016333|0|1|-1411077595
1018794|0|1|-168668340
976759|0|1|1966104874
1022188|0|1|504240151
1004861|0|1|317952785
1020402|0|1|331549822
1006355|0|1|323205025
979950|0|1|1161942287
974353|0|1|-350770475
1030997|0|1|-1321326967




